gkz;gemeinde;gruene_rel;75_abs;3p_abs
61001;Allerheiligen bei Wildon;2,49;160;96
61002;Arnfels;1,95;123;63
61007;Empersdorf;1,54;123;113
61008;Gabersdorf;1,63;91;85
61012;Gralla;0,97;116;187
61013;Gro·klein;2,31;206;175
61016;Heimschuh;0,87;190;172
61017;Hengsberg;1,11;114;107
61019;Kitzeck im Sausal;1,28;131;89
61020;Lang;0,77;102;96
61021;Lebring-Sankt Margarethen;2,55;166;162
61024;Oberhaag;0,56;229;154
61027;Ragnitz;1,17;119;107
61030;Sankt AndrÑ-Hîch;0,61;149;119
61032;Sankt Johann im Saggautal;1,39;193;155
61033;Sankt Nikolai im Sausal;2,04;232;140
61043;Tillmitsch;1,51;201;282
61045;Wagna;1,3;504;424
61049;Ehrenhausen an der Weinstra·e;0,77;212;185
61050;Gamlitz;0,83;299;244
61051;GleinstÑtten;1,24;254;223
61052;Heiligenkreuz am Waasen;1,57;241;210
61053;Leibnitz;2,21;1040;866
61054;Leutschach an der Weinstra·e;1,53;383;254
61055;Sankt Georgen an der Stiefing;3,03;146;111
61056;Sankt Veit in der SÅdsteiermark;0,95;384;306
61057;Schwarzautal;0,54;244;171
61058;Stra· in Steiermark;1,17;397;358
61059;Wildon;2,39;493;390
