spoe;30_44;2p
221;436;209
166;278;110
163;231;129
125;158;67
216;617;295
200;463;245
266;509;307
84;120;35
276;403;212
342;424;223
164;250;111
229;417;205
196;180;118
113;113;96
79;110;50
103;175;91
379;865;461
344;885;349
220;392;185
303;458;255
577;804;490
503;881;474
144;344;151
91;334;132
1069;2314;1408
233;360;167
232;440;220
527;748;395
352;757;367
471;1194;570
2011;2178;1746
;;
MIN;;
79;110;35
MAX;;
2011;2314;1746
RANGE;;
1932;2204;1711
MEDIAN;;
229;424;212
MITTELWERT;;
335,4516129;575,4193548;318,483871
Q1;;
163,5;264;123,5
Q3;;
348;752,5;358
