gkz;oevp_abs;4p_rel;5p_rel;;;;
61701;404;17,46;10,89;;;;
61708;341;17,09;18,45;;;;
61710;256;18,08;13,62;;;;
61711;329;20,42;22,89;;;;
61716;690;18,18;10,26;;;;
61719;427;16,28;9,79;;;;
61727;387;14,06;7,25;;;;
61728;199;19,23;26,92;;;;
61729;456;18,76;9,31;;;;
61730;429;17,28;13,61;;;;
61731;350;19,77;20,92;;;;
61740;460;18,26;12,62;;;;
61741;283;12,92;14,59;;;;
61743;212;11,48;8,2;;;;
61744;172;17,75;16,45;;;;
61745;312;17,13;20,79;;;;
61746;899;17,95;9,18;;;;
61748;777;18,4;13,47;;;;
61750;537;19,97;13,62;;;;
61751;574;16,01;13,5;;;;
61756;898;17,34;8,67;;;;
61757;1214;17,04;14,62;;;;
61758;504;16,67;16,51;;;;
61759;486;19,25;21,13;;;;
61760;1852;12,08;5,69;;;;
61761;321;16,53;12,4;;;;
61762;486;18,86;11,7;;;;
61763;1078;17,33;15,58;;;;
61764;689;17,1;10,83;;;;
61765;1019;15,71;10,33;;;;
61766;1507;8,69;4,29;;;;
