fpoe;;Metriken;;abgegeben;;Metriken;;ausland;;Metriken
108;;MIN;;1177;;MIN;;104;;MIN
117;;108;;964;;423;;19;;5
136;;;;714;;;;38;;
160;;MAX;;614;;MAX;;8;;MAX
160;;1572;;1736;;5914;;177;;1235
189;;;;1212;;;;185;;
243;;Range;;1298;;Range;;149;;Range
270;;1464;;483;;5491;;5;;1230
309;;;;1257;;;;66;;
358;;Mean;;1317;;Mean;;57;;Mean
360;;537,3225806;;855;;1667;;34;;155,4193548
360;;;;1229;;;;60;;
372;;Median;;682;;Median;;69;;Median
375;;401;;470;;1257;;17;;69
389;;;;423;;;;7;;
401;;Quartile 1;;651;;Quartile 1;;19;;Quartile 1
413;;289,5;;2357;;909,5;;128;;35,5
416;;;;2389;;;;286;;
442;;Quartile 3;;1278;;Quartile 3;;71;;Quartile 3
458;;774,5;;1406;;2255;;98;;147
485;;;;2530;;;;131;;
589;;;;3105;;;;145;;
765;;;;1137;;;;42;;
784;;;;1080;;;;27;;
808;;;;5318;;;;1008;;
872;;;;998;;;;37;;
1019;;;;1370;;;;60;;
1083;;;;2579;;;;155;;
1097;;;;2153;;;;100;;
1547;;;;2981;;;;281;;
1572;;;;5914;;;;1235;;
