Gemeinde;wahlberechtigt;gueltig;45_59;;Wahlberechtigte;
Weiz;72553;58615;;;Min;532
Albersdorf-Prebuch;1604;1163;499;;Max;72553
Fischbach;1287;952;341;;Range;72.021
Floing;979;707;295;;Quartil 1;1287
Gasen;742;610;217;;Mean;6176,818182
Markt Hartmannsdorf;2374;1720;684;;Quaritl 3 ;3324
Hofstätten an der Raab;1710;1199;533;;Median;1718
Ludersdorf-Wilfersdorf;1881;1290;574;;;
Miesenbach bei Birkfeld;582;479;186;;Gültig;
Mitterdorf an der Raab;1690;1245;524;;Min ;422
Mortantsch;1718;1300;488;;Max;58615
Naas;1139;845;360;;Range;58.193
Puch bei Weiz;1736;1220;509;;Quartl 1 ;952
Ratten;946;680;269;;Mean;4731,424242
Rettenegg;625;465;169;;Quartil 3 ;2365
St. Kathrein am Hauenstein;532;422;164;;Median;1269
Sankt Kathrein am Offenegg;925;648;283;;;
St. Margarethen an der Raab;3304;2342;910;;Altergruppe;
Sinabelkirchen;3324;2365;1032;;Min;164
Strallegg;1592;1269;435;;Max;2726
Thannhausen;1985;1390;571;;Range;2.562
Anger;3449;2509;998;;Quartil 1 ;350,5
Birkfeld;4231;3074;1198;;Mean;687,3548387
Fladnitz an der Teichalm;1462;1126;428;;Quartil 3 ;885,5
Gersdorf an der Feistritz;1398;1066;405;;Median;509
Gleisdorf;8351;5277;2450;;;
Gutenberg-Stenzengreith;1446;991;458;;;
Ilztal;1775;1359;513;;;
Passail;3548;2560;1046;;;
Pischelsdorf am Kulm;3005;2133;861;;;
Sankt Ruprecht an der Raab;4166;2964;1182;;;
Weiz;9047;5860;2726;;;
Murtal;58729;46292;;;;
