gkz,gruene_rel,oesterreich_abs,0_14_rel
62007,"0,77",7272,"11,65"
62008,"0,87",1348,"16,86"
62010,"0,41",384,"9,18"
62014,"2,14",1773,"14,18"
62021,0,454,"14,01"
62026,"1,69",822,"13,4"
62032,"1,67",1052,"13,33"
62034,"1,17",1241,"15,87"
62036,"1,39",1286,"13,66"
62038,"1,08",6379,"12,06"
62039,"1,21",1767,"14,6"
62040,"1,38",9051,"11,32"
62041,"1,06",10384,"12,89"
62042,"0,68",3711,"13,78"
62043,"1,35",2874,"11,96"
62044,"1,16",2601,"12,14"
62045,"1,56",1950,"17,89"
62046,1,2596,"13,04"
62047,"1,17",5094,"13,86"
62048,"1,12",4739,"14,13"
