gkz,gemeinde,spoe_rel,30_44_rel,5p_rel
62279,Edelsbach bei Feldbach,18.43,17.82,17.54
62314,Eichkögl,14.48,24.02,13.13
62326,Halbenrain,10.81,17.86,9.49
62330,Jagerberg,10.77,21.16,16.52
62332,Kapfenstein,15.51,19.4,17.67
62335,Klöch,11,19.55,6.83
62343,Mettersdorf am Saßbach,16.44,19.03,14.73
62347,Murfeld,17.74,19.26,9.97
62368,Tieschen,19.65,20.85,10.56
62372,Unterlamm,8.02,18.94,8.99
62375,Bad Gleichenberg,19.01,18.12,6.77
62376,Bad Radkersburg,19.4,15.54,4.26
62377,Deutsch Goritz,14.31,18.11,9.14
62378,Fehring,19.38,18.4,9.55
62379,Feldbach,18.85,19.47,7.37
62380,Gnas,9.84,18.74,16.28
62381,Kirchbach-Zerlach,11.64,19.23,14.03
62382,Kirchberg an der Raab,15.69,20.42,8.65
62383,Mureck,20.03,17.43,7.94
62384,Paldau,16.85,20,11.14
62385,Pirching am Traubenberg,10.39,20.67,13.5
62386,Riegersburg,14.28,18.83,11.71
62387,Sankt Anna am Aigen,9.92,16.93,12.57
62388,Sankt Peter am Ottersbach,12.95,18.76,14.49
62389,Sankt Stefan im Rosental,13.71,19.39,17.32
62390,Straden,13.09,17.96,11.03
