gkz,gemeinde,gruene_rel,0_14_rel,15_29_rel
62372,Unterlamm,0.27,10.61,12.12
62347,Murfeld,0.54,11.07,12.95
62368,Tieschen,0.54,11.17,13.5
62330,Jagerberg,0.7,11.89,14.52
62332,Kapfenstein,0.86,12.01,15
62335,Klöch,0.86,12.05,15.17
62382,Kirchberg an der Raab,1.02,12.16,15.24
62343,Mettersdorf am Saßbach,1.08,12.37,15.27
62384,Paldau,1.13,12.6,15.35
62387,Sankt Anna am Aigen,1.23,12.84,15.41
62380,Gnas,1.26,12.99,15.44
62388,Sankt Peter am Ottersbach,1.31,13.11,15.74
62386,Riegersburg,1.34,13.19,15.75
62375,Bad Gleichenberg,1.35,13.19,15.81
62381,Kirchbach-Zerlach,1.35,13.34,15.83
62326,Halbenrain,1.36,13.38,16.16
62378,Fehring,1.43,13.59,16.18
62389,Sankt Stefan im Rosental,1.52,13.7,16.22
62390,Straden,1.79,14.11,16.23
62385,Pirching am Traubenberg,1.8,14.2,16.47
62379,Feldbach,1.85,14.47,16.54
62314,Eichkögl,1.86,14.62,16.57
62376,Bad Radkersburg,1.86,14.65,16.72
62279,Edelsbach bei Feldbach,2.02,15.33,16.84
62383,Mureck,2.14,15.35,17.24
62377,Deutsch Goritz,2.71,15.96,17.67
