gkz;;oevp;75,0;1p
;;;;
62279;;338;165;25,56
62314;;272;111;21,01
62326;;434;241;24,04
62330;;462;179;23,7
62332;;376;188;20,19
62335;;405;109;28,11
62343;;340;147;19,87
62347;;379;149;24,21
62368;;290;140;26,29
62372;;346;148;23,55
62375;;955;597;32,23
62376;;670;442;35,86
62377;;460;205;23
62378;;1480;893;26,93
62379;;2639;1293;33,06
62380;;1659;674;21,33
62381;;865;380;22,46
62382;;898;408;25,72
62383;;700;411;33,2
62384;;715;316;21,65
62385;;627;185;18,3
62386;;1219;539;21,57
62387;;708;289;22,66
62388;;714;344;22,02
62389;;1034;397;22,93
62390;;949;407;24,93
