"spoe","Sozialdemokratische Partei Österreich","SPÖ"
"oevp","Österreichische Volkspartei","ÖVP"
"fpoe","Freiheitliche Partei Österreich","FPÖ"
"bzoe","Bündnis Zukunft Österreich","BZÖ"
"gruene","Die Grünen","GRÜNE"
"frank","Team Stronach","FRANK"
"neos","NEOS","NEOS"
"kpoe","Kommunistische Partei Österreich","KPÖ"
"pirat","Piratenpartei Österreich","PIRAT"
"cpoe","Christliche Partei Österreich","CPÖ"
"wandl","Der Wandel","WANDEL"
"m","Männerpartei Österreich","M"
"euaus","EU-Austrittspartei für Österreich","EUAUS"
"slp","Sozialistische Linkspartei","SLP"
"puma","Partei für Umwelt, Mensch und Arbeit","PUMA"
"rekos","Die Reformkonservativen","REKOS"
"anders","Europa Anders","ANDERS"
"eustop","EU-Austritt, Direkte Demokratie, Neutralität","EU-STOP"
"fritz","Bürgerforum Österreich Liste Fritz Dinkhauser","FRITZ"
"dc","Die Christen","DC"
"lif","Liberales Forum","LIF"
"rettoe","Unabhängige Bürgerinitiative Rettet Österreich","RETTÖ"
"linke_t","Die Linke Tirol","Die LINKE"
"khk","Dipl.Ing. Karlheinz H. Klement","KHK"
"linke","LINKE","LINKE"
"stark","Liste STARK","STARK"
"trp","Tierrechtspartei earth-human-animals-nature","TRP"
"matin","Liste Dr. Martin","MATIN"
"nfoe","EU-Austritt - Neutrales Freies Österreich","NFÖ"
"ive","IVE INITIATIVE2000","IVE"
"sau","Sicher-Absolut-Unabhängig, Franz Radinger","SAU"
"dd","Die Demokraten","DD"
"cwg","Christliche Wählergemeinschaft","CWG"
"du","Die Unabhängigen - Liste Lugner","DU"
"nein","Nein zu NATO und EU","NEIN"
"dc_ooe","Die Christen Oberösterreich","DC OÖ"
"martin","Liste Dr. Hans-Peter Martin","MARTIN"
"julis","Junge Liberale Österreich","JULIS"
"csa","Christlich Soziale Allianz","CSA"
"n","Die Neutralen - Bürgerinitiative","N"
"fhc","Forum Handicap","FHC"
"oenp","Österreichische Naturgesetzpartei","ÖNP"
"dbp","Die Beste Partei - Reinhard Eberhart","DBP"
"vgoe","Vereinte Grüne Österreichs - Liste Tollmann","VGÖ"
"bgoe","Bürgerliche Grüne Österreichs ","BGÖ"
"fritz2","Fritz Georg","FRIZZ"
"wif","Wiener Forum","WIF"
"fdp","Freie Demokratische Partei","FDP"
"mut","Die Mutbürger","MUT"
"lnoe","Liste für unser Niederösterreich","LNÖ"
"gruenoe","Grünes unabhängiges Österreich ","GRÜNÖ"
"lpw","Liste Pepi Wagner","LPW"
"lzoech","Vernunft für Niederösterreich - Dr. Wolfgang Zöch","L. ZÖCH"
"vds","Verband der Sozialversicherten","VDS"
"cdp2","Christdemokratische Partei","CDP"
"wgoe","Wahlplattform der Grauen Österreichs","WGÖ"
"gal","Die Grünalternativen - Demokratische Liste","GAL"
"voega","Kärntner Grüne - VGÖ - VÖGA - Unabhängige Gemeinderäte","VÖGA"
"mir","Aktionsliste Mir reichts","MIR"
"aloe","Alternative Liste Österreich","ALÖ"
"oep","Österreich-Partei","ÖPU"
"aus","Ausländer-Halt-Bewegung","AUS"
"csa2","Christlich-Soziale-Arbeitsgemeinschaft","CSA"
"lsf","Liste Steinacher Franz","LSF"
"grm","Gruppe Revolutionäre Marxisten","GRM"
"ol","Offensiv Links","OL"
"dfp","Demokratische Fortschrittliche Partei, Liste Franz Olah","DFP"
"ndp","Nationaldemokratische Partei","NDP"
"mrf","Adolf Glantschnig - Für Menschlichkeit, Recht und Freiheit in Österreich","MRF"
"lpoe","Liberale Partei Österreichs","LPÖ"
"mloe","Marxisten-Leninisten Österreichs","MLÖ"
"efp","Europäische Föderalistische Partei Österreichs","EFP"
"bds","Bund demokratischer Sozialisten","BDS"
